SMF,length,rail,備考
2Rail00.smf,8,RAIL001(rail)|RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),100のレール
2Rail00_50.smf,8,RAIL001(rail)|RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
kasenchu00.smf,1,RAIL001(rail)|RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail)|CHARSEL3D(Set3DObj),
line00.smf,1,RAIL001(rail)|RAIL002(rail)|RAIL003(rail)|RAIL004(rail)|RAIL005(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL012(rail)|RAIL013(rail)|RAIL020(rail)|RAIL021(rail)|RAIL022(rail)|CHARSEL3D(Set3DObj),100の架線
line02.smf,1,RAIL001(rail)|RAIL002(rail)|RAIL003(rail)|RAIL004(rail)|RAIL005(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL012(rail)|RAIL013(rail)|RAIL020(rail)|RAIL021(rail)|RAIL022(rail),50の架線
yodo_tetu01.smf,8,RAIL001(rail)|RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
hankyu_taimen_st.smf,32,RAIL001(rail)|RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2Rail50_Humikiri.smf,8,RAIL001(rail)|RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
kasenchu_st.smf,1,RAIL001(rail)|RAIL002(rail)|RAIL003(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL012(rail)|RAIL020(rail)|RAIL021(rail),
nakatu_st.smf,8,RAIL001(rail)|RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
1Rail_25_Konkuri.smf,8,RAIL002(rail)|RAIL003(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL012(rail)|RAIL020(rail)|RAIL021(rail),
1Rail_konkuri.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),100のレール
takara_st.smf,8,RAIL002(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),走れるレールは2~4番線のみ
kasenchu_takaraduka.smf,1,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2Rail50_Tekkyou.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2Rail25_Humikiri.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2Rail_Konkuri.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),100のレール
2Rail50_Konkuri.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
1Rail_50_Konkuri.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
2_to_4Rail.smf,8,RAIL002(rail)|RAIL004(rail)|RAIL006(rail)|RAIL007(rail)|RAIL008(rail)|RAIL010(rail)|RAIL011(rail)|RAIL020(rail),
